Team,Gms,Att,Cmp,Pct,Yds,YPA,TD,Int,Sack,Loss,Rate,NetYds,Yds/G
Arizona Cardinals,13,461,309,67,3231,7.01,23,10,21,134,94.7,3097,238.2
Atlanta Falcons,13,500,318,63.6,3699,7.4,20,11,33,203,90.1,3496,268.9
Baltimore Ravens,13,335,210,62.7,2365,7.06,19,9,31,180,91.4,2185,168.1
Buffalo Bills,13,478,328,68.6,3695,7.73,30,9,25,148,104.6,3547,272.8
Carolina Panthers,13,450,315,70,3403,7.56,15,10,26,177,93.8,3226,248.2
Chicago Bears,13,515,330,64.1,3206,6.23,23,13,33,260,85.8,2946,226.6
Cincinnati Bengals,13,509,330,64.8,3285,6.45,16,9,46,334,86.1,2951,227
Cleveland Browns,13,389,243,62.5,2923,7.51,24,8,17,90,97.4,2833,217.9
Dallas Cowboys,13,528,342,64.8,3669,6.95,20,11,34,273,89,3396,261.2
Denver Broncos,13,436,248,56.9,2938,6.74,18,21,25,189,71.3,2749,211.5
Detroit Lions,13,482,306,63.5,3645,7.56,23,10,37,249,93.8,3396,261.2
Green Bay Packers,13,448,312,69.6,3685,8.23,39,4,14,126,119.7,3559,273.8
Houston Texans,13,432,297,68.8,3761,8.71,25,6,40,248,109.2,3513,270.2
Indianapolis Colts,13,462,311,67.3,3524,7.63,20,9,15,96,96.3,3428,263.7
Jacksonville Jaguars,13,508,315,62,3257,6.41,19,14,32,196,81.5,3061,235.5
Kansas City Chiefs,13,506,347,68.6,4255,8.41,33,5,19,128,111.9,4127,317.5
Las Vegas Raiders,14,479,324,67.6,3676,7.67,25,8,22,132,100.9,3544,253.1
Los Angeles Chargers,14,563,370,65.7,3993,7.09,27,10,29,172,95,3821,272.9
Los Angeles Rams,13,475,324,68.2,3509,7.39,18,11,17,123,92.7,3386,260.5
Miami Dolphins,13,439,288,65.6,3123,7.11,21,9,28,157,93.8,2966,228.2
Minnesota Vikings,13,400,270,67.5,3298,8.24,27,12,31,195,102.7,3103,238.7
New England Patriots,13,361,235,65.1,2576,7.14,8,14,28,166,77.3,2410,185.4
New Orleans Saints,13,428,312,72.9,3191,7.46,22,5,26,168,106.2,3023,232.5
New York Giants,13,419,261,62.3,2634,6.29,9,10,41,248,77.4,2386,183.5
New York Jets,13,401,230,57.4,2424,6.04,11,12,36,265,71.7,2159,166.1
Philadelphia Eagles,13,482,276,57.3,2929,6.08,18,16,53,331,73.7,2598,199.8
Pittsburgh Steelers,13,525,348,66.3,3301,6.29,29,9,11,97,94.8,3204,246.5
San Francisco 49ers,13,468,307,65.6,3546,7.58,18,15,31,234,87.8,3312,254.8
Seattle Seahawks,13,468,330,70.5,3718,7.94,36,12,41,254,108.9,3464,266.5
Tampa Bay Buccaneers,13,498,322,64.7,3496,7.02,30,11,16,103,96.1,3393,261
Tennessee Titans,13,405,266,65.7,3216,7.94,28,5,20,139,107.8,3077,236.7
Washington Football Team,13,467,303,64.9,3048,6.53,12,10,40,275,83,2773,213.3
